
 Branch Buffer Table: 

Current PC 	 Target PC
0x8000c410	0x8000c430
0x8000c424	0x8000c42c
0x8000c438	0x8000c40c
0x8000c450	0x8000c36c
0x8000c4e8	0x8000c694
0x8000c4f4	0x8000c36c
0x8000c604	0x8000c62c
0x8000c60c	0x8000c618
0x8000c624	0x8000c36c
0x8000c638	0x8000c36c
0x8000c72c	0x8000c768
0x8000c738	0x8000c768
0x8000c750	0x8000c740
0x8000c76c	0x8000c78c
0x8000c788	0x8000c778
0x8000c79c	0x8000c7bc
0x8000c7d0	0x8000c7b8
0x8000c7e0	0x8000c7d8
0x8000c7f0	0x8000c80c
0x8000c800	0x8000c7f8
0x8000c824	0x8000c834
0x8000c828	0x8000c814


 Branch History Table: 

Current PC 	 Predicted 	 Actual 
0x10078:
			NT	     T
0x100b0:
			NT	     NT
0x100dc:
			NT	     NT
0x100f4:
			NT	     T
0x10128:
			NT	     T
0x10198:
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
0x1023c:
			NT	     NT
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     NT
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
			NT	     T
